ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog219,Sheffield,r,m,NaN,NaN,NaN,2.21830872278627,2.26730690301952
sub-Vog220,Sheffield,a,f,NaN,NaN,NaN,2.41191753770217,2.33211400612925
sub-Vog221,Sheffield,r,f,NaN,NaN,NaN,0.974750620737857,1.17345219110853
sub-Vog222,Sheffield,r,f,NaN,NaN,NaN,1.50552066980638,1.29452468678616
sub-Vog223,Sheffield,r,f,NaN,NaN,NaN,1.8806322431719,1.58042108190425
sub-Vog224,Sheffield,a,f,NaN,NaN,NaN,0.977770760138764,0.880177851631333
sub-Vog225,Sheffield,r,m,NaN,NaN,NaN,1.51777941038014,1.60379747412317
sub-Vog226,Sheffield,r,f,NaN,NaN,NaN,1.54276781314839,1.75515626249599
sub-Vog227,Sheffield,r,f,NaN,NaN,NaN,0.992375676118004,0.979496942297094
sub-Vog228,Sheffield,r,f,NaN,NaN,NaN,2.66272480906627,3.08083879601979
sub-Vog229,Sheffield,r,f,NaN,NaN,NaN,1.80004362195947,1.64875129326261
sub-Vog230,Sheffield,r,f,NaN,NaN,NaN,1.38173949749413,1.53169134634951
sub-Vog231,Sheffield,r,f,NaN,NaN,NaN,1.43737177212106,1.55106971546194
sub-Vog232,Sheffield,r,f,NaN,NaN,NaN,1.78912821273714,1.50558095894073
sub-Vog233,Sheffield,r,f,NaN,NaN,NaN,2.43667969688024,2.43332174663296
sub-Vog234,Sheffield,r,m,NaN,NaN,NaN,2.13582310753883,1.91760732876911
sub-Vog235,Sheffield,r,f,NaN,NaN,NaN,3.73359063221228,3.8121364200236
sub-Vog236,Sheffield,r,f,NaN,NaN,NaN,2.82943484551478,2.77081558591069
sub-Vog237,Sheffield,r,f,NaN,NaN,NaN,2.43491857472455,2.20938327978221
sub-Vog238,Sheffield,r,f,NaN,NaN,NaN,2.20275022826854,2.15163763997344
sub-Vog239,Sheffield,r,m,NaN,NaN,NaN,1.57856954250156,1.68134517671393
sub-Vog240,Sheffield,r,m,NaN,NaN,NaN,2.16691777705968,1.93141107511982
sub-Vog241,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.03387116061393,1.83734563096491
sub-Vog242,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,1.74508106272812,2.59472919843159
sub-Vog243,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,-0.0532816072814735,-0.035411324941074
sub-Vog244,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.13307548206655,2.1041941923639
sub-Vog245,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.38885706287928,2.4628555316954
sub-Vog246,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.46749013775411,2.45996840742183
sub-Vog247,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,1.91275920345087,1.94957592469533
sub-Vog248,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.45008763566638,2.3946506567452
sub-Vog249,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.92653439521591,2.82475771873164
sub-Vog250,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,3.00490841316703,3.05341437424262
sub-Vog251,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,1.92854263633074,1.9756312269476
sub-Vog252,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.26637058913751,2.02882520218589
sub-Vog253,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,1.58146354587033,1.63886867061153
sub-Vog254,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.24901832915083,2.14470071944739
sub-Vog255,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.67559175831521,2.44170125337237
sub-Vog256,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.18303077377225,2.16104989802172
sub-Vog257,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,1.88407423615388,2.29907712709412
sub-Vog258,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,1.7369056220553,2.22736559477667
sub-Vog259,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.30923446254142,2.17787678881651
sub-Vog260,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.55568535399694,2.95292686646534
sub-Vog261,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.12597238193523,2.34237762935816
sub-Vog262,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.03800191042924,2.52070030481091
sub-Vog263,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.25552119423694,3.36727807036755
sub-Vog264,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,1.95098743543554,1.82234574515363
sub-Vog265,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.3058297033945,2.094751680178
sub-Vog266,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,1.89135077799015,1.87211444154377
sub-Vog267,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.34545613357436,1.89654743970352
sub-Vog268,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.04527721849392,2.28743278622
